Title,Note,URL,Comment
サイゼリヤ 西落合店,,https://www.google.com/maps/place/%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E8%A5%BF%E8%90%BD%E5%90%88%E5%BA%97/data=!4m2!3m1!1s0x6018f2a7c699bfed:0x1cbebf76d3e3e149,
ラパウザ 吉祥寺ダイヤ街店,"Host family 
Chichibu day dinner",https://www.google.com/maps/place/%E3%83%A9%E3%83%91%E3%82%A6%E3%82%B6+%E5%90%89%E7%A5%A5%E5%AF%BA%E3%83%80%E3%82%A4%E3%83%A4%E8%A1%97%E5%BA%97/data=!4m2!3m1!1s0x6018ee4888973ed9:0x2551b09fae8b651d,
ロイヤルホスト秋葉原店,Usually go here after saturday music jam session,https://www.google.com/maps/place/%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%9B%E3%82%B9%E3%83%88%E7%A7%8B%E8%91%89%E5%8E%9F%E5%BA%97/data=!4m2!3m1!1s0x60188c1de437b47d:0x70e3d285433440c8,
ブーランジェリールフレ,Went with megumi,https://www.google.com/maps/place/%E3%83%96%E3%83%BC%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%E3%83%AB%E3%83%95%E3%83%AC/data=!4m2!3m1!1s0x6018f252494c0753:0xad663048da53581f,
グリルマリノ,"""Grill Marino is a long-established Western restaurant that opened in 1967.”
they got omurice and katsu pog",https://www.google.com/maps/place/%E3%82%B0%E3%83%AA%E3%83%AB%E3%83%9E%E3%83%AA%E3%83%8E/data=!4m2!3m1!1s0x6018f256a638d243:0xe11c137e75aa91c6,
ロイヤルホスト永福町店,,https://www.google.com/maps/place/%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%9B%E3%82%B9%E3%83%88%E6%B0%B8%E7%A6%8F%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x6018f24fcd23ed43:0x2cdfa3b8db440cf5,
