Title,Note,URL,Comment
GiGO 秋葉原3号館,,https://www.google.com/maps/place/GiGO+%E7%A7%8B%E8%91%89%E5%8E%9F3%E5%8F%B7%E9%A4%A8/data=!4m2!3m1!1s0x60188c1d07cce347:0x1d24da42b5e05a3c,
GiGO総本店,Went with isi group and victor,https://www.google.com/maps/place/GiGO%E7%B7%8F%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188dd409141a51:0x9e506af3ccd25c48,
高田馬場ゲーセン ミカド in オアシスプラザ,Old style arcade retro,https://www.google.com/maps/place/%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B4%E3%82%B2%E3%83%BC%E3%82%BB%E3%83%B3+%E3%83%9F%E3%82%AB%E3%83%89+in+%E3%82%AA%E3%82%A2%E3%82%B7%E3%82%B9%E3%83%97%E3%83%A9%E3%82%B6/data=!4m2!3m1!1s0x60188d39a3a220cf:0x9b97ae7d45d64181,
